paired_id,dataset,split,domain,tokenizer,tokenizer_family,en_tokens,zh_tokens,en_chars,zh_chars,en_bytes,zh_bytes,en_chars_per_token,zh_chars_per_token,en_bytes_per_token,zh_bytes_per_token,TP,context_shrinkage
flores200:devtest:0,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,22,47,88,37,88,101,4.0,0.7872340425531915,4.0,2.148936170212766,2.1363636363636362,0.5319148936170213
flores200:devtest:0,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,22,31,88,37,88,101,4.0,1.1935483870967742,4.0,3.2580645161290325,1.4090909090909092,0.29032258064516137
flores200:devtest:0,flores200,devtest,wikinews,llama3,hf,22,31,88,37,88,101,4.0,1.1935483870967742,4.0,3.2580645161290325,1.4090909090909092,0.29032258064516137
flores200:devtest:0,flores200,devtest,wikinews,qwen25,hf,22,25,88,37,88,101,4.0,1.48,4.0,4.04,1.1363636363636365,0.1200000000000001
flores200:devtest:0,flores200,devtest,wikinews,byte,byte,88,101,88,37,88,101,1.0,0.36633663366336633,1.0,1.0,1.1477272727272727,0.12871287128712872
flores200:devtest:0,flores200,devtest,wikinews,char,char,88,37,88,37,88,101,1.0,1.0,1.0,2.72972972972973,0.42045454545454547,-1.3783783783783785
flores200:devtest:1,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,44,97,225,64,225,183,5.113636363636363,0.6597938144329897,5.113636363636363,1.8865979381443299,2.2045454545454546,0.5463917525773196
flores200:devtest:1,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,45,51,225,64,225,183,5.0,1.2549019607843137,5.0,3.588235294117647,1.1333333333333333,0.11764705882352944
flores200:devtest:1,flores200,devtest,wikinews,llama3,hf,44,54,225,64,225,183,5.113636363636363,1.1851851851851851,5.113636363636363,3.388888888888889,1.2272727272727273,0.18518518518518523
flores200:devtest:1,flores200,devtest,wikinews,qwen25,hf,44,42,225,64,225,183,5.113636363636363,1.5238095238095237,5.113636363636363,4.357142857142857,0.9545454545454546,-0.04761904761904767
flores200:devtest:1,flores200,devtest,wikinews,byte,byte,225,183,225,64,225,183,1.0,0.34972677595628415,1.0,1.0,0.8133333333333334,-0.2295081967213115
flores200:devtest:1,flores200,devtest,wikinews,char,char,225,64,225,64,225,183,1.0,1.0,1.0,2.859375,0.28444444444444444,-2.515625
flores200:devtest:2,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,32,64,166,49,166,137,5.1875,0.765625,5.1875,2.140625,2.0,0.5
flores200:devtest:2,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,32,40,166,49,166,137,5.1875,1.225,5.1875,3.425,1.25,0.19999999999999996
flores200:devtest:2,flores200,devtest,wikinews,llama3,hf,32,43,166,49,166,137,5.1875,1.1395348837209303,5.1875,3.186046511627907,1.34375,0.2558139534883721
flores200:devtest:2,flores200,devtest,wikinews,qwen25,hf,32,29,166,49,166,137,5.1875,1.6896551724137931,5.1875,4.724137931034483,0.90625,-0.10344827586206895
flores200:devtest:2,flores200,devtest,wikinews,byte,byte,166,137,166,49,166,137,1.0,0.35766423357664234,1.0,1.0,0.8253012048192772,-0.21167883211678817
flores200:devtest:2,flores200,devtest,wikinews,char,char,166,49,166,49,166,137,1.0,1.0,1.0,2.795918367346939,0.29518072289156627,-2.387755102040816
flores200:devtest:3,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,61,120,315,95,315,263,5.163934426229508,0.7916666666666666,5.163934426229508,2.191666666666667,1.9672131147540983,0.4916666666666667
flores200:devtest:3,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,59,74,315,95,315,263,5.338983050847458,1.2837837837837838,5.338983050847458,3.554054054054054,1.2542372881355932,0.20270270270270274
flores200:devtest:3,flores200,devtest,wikinews,llama3,hf,61,80,315,95,315,263,5.163934426229508,1.1875,5.163934426229508,3.2875,1.3114754098360655,0.23749999999999993
flores200:devtest:3,flores200,devtest,wikinews,qwen25,hf,63,60,315,95,315,263,5.0,1.5833333333333333,5.0,4.383333333333334,0.9523809523809523,-0.050000000000000044
flores200:devtest:3,flores200,devtest,wikinews,byte,byte,315,263,315,95,315,263,1.0,0.3612167300380228,1.0,1.0,0.834920634920635,-0.19771863117870714
flores200:devtest:3,flores200,devtest,wikinews,char,char,315,95,315,95,315,263,1.0,1.0,1.0,2.768421052631579,0.30158730158730157,-2.3157894736842106
flores200:devtest:4,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,37,72,175,70,175,204,4.72972972972973,0.9722222222222222,4.72972972972973,2.8333333333333335,1.945945945945946,0.48611111111111116
flores200:devtest:4,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,37,51,175,70,175,204,4.72972972972973,1.3725490196078431,4.72972972972973,4.0,1.3783783783783783,0.27450980392156854
flores200:devtest:4,flores200,devtest,wikinews,llama3,hf,37,54,175,70,175,204,4.72972972972973,1.2962962962962963,4.72972972972973,3.7777777777777777,1.4594594594594594,0.31481481481481477
flores200:devtest:4,flores200,devtest,wikinews,qwen25,hf,37,44,175,70,175,204,4.72972972972973,1.5909090909090908,4.72972972972973,4.636363636363637,1.1891891891891893,0.15909090909090917
flores200:devtest:4,flores200,devtest,wikinews,byte,byte,175,204,175,70,175,204,1.0,0.3431372549019608,1.0,1.0,1.1657142857142857,0.14215686274509798
flores200:devtest:4,flores200,devtest,wikinews,char,char,175,70,175,70,175,204,1.0,1.0,1.0,2.914285714285714,0.4,-1.5
flores200:devtest:5,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,29,57,130,59,130,144,4.482758620689655,1.0350877192982457,4.482758620689655,2.526315789473684,1.9655172413793103,0.49122807017543857
flores200:devtest:5,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,28,44,130,59,130,144,4.642857142857143,1.3409090909090908,4.642857142857143,3.272727272727273,1.5714285714285714,0.36363636363636365
flores200:devtest:5,flores200,devtest,wikinews,llama3,hf,29,46,130,59,130,144,4.482758620689655,1.2826086956521738,4.482758620689655,3.130434782608696,1.5862068965517242,0.3695652173913043
flores200:devtest:5,flores200,devtest,wikinews,qwen25,hf,29,41,130,59,130,144,4.482758620689655,1.4390243902439024,4.482758620689655,3.5121951219512195,1.4137931034482758,0.2926829268292682
flores200:devtest:5,flores200,devtest,wikinews,byte,byte,130,144,130,59,130,144,1.0,0.4097222222222222,1.0,1.0,1.1076923076923078,0.09722222222222232
flores200:devtest:5,flores200,devtest,wikinews,char,char,130,59,130,59,130,144,1.0,1.0,1.0,2.440677966101695,0.45384615384615384,-1.2033898305084745
flores200:devtest:6,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,10,14,35,18,35,40,3.5,1.2857142857142858,3.5,2.857142857142857,1.4,0.2857142857142857
flores200:devtest:6,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,11,12,35,18,35,40,3.1818181818181817,1.5,3.1818181818181817,3.3333333333333335,1.0909090909090908,0.08333333333333326
flores200:devtest:6,flores200,devtest,wikinews,llama3,hf,10,13,35,18,35,40,3.5,1.3846153846153846,3.5,3.076923076923077,1.3,0.23076923076923084
flores200:devtest:6,flores200,devtest,wikinews,qwen25,hf,10,11,35,18,35,40,3.5,1.6363636363636365,3.5,3.6363636363636362,1.1,0.09090909090909094
flores200:devtest:6,flores200,devtest,wikinews,byte,byte,35,40,35,18,35,40,1.0,0.45,1.0,1.0,1.1428571428571428,0.125
flores200:devtest:6,flores200,devtest,wikinews,char,char,35,18,35,18,35,40,1.0,1.0,1.0,2.2222222222222223,0.5142857142857142,-0.9444444444444446
flores200:devtest:7,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,26,59,128,53,128,143,4.923076923076923,0.8983050847457628,4.923076923076923,2.4237288135593222,2.269230769230769,0.5593220338983051
flores200:devtest:7,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,26,42,128,53,128,143,4.923076923076923,1.2619047619047619,4.923076923076923,3.4047619047619047,1.6153846153846154,0.38095238095238093
flores200:devtest:7,flores200,devtest,wikinews,llama3,hf,26,46,128,53,128,143,4.923076923076923,1.1521739130434783,4.923076923076923,3.108695652173913,1.7692307692307692,0.4347826086956521
flores200:devtest:7,flores200,devtest,wikinews,qwen25,hf,28,38,128,53,128,143,4.571428571428571,1.394736842105263,4.571428571428571,3.763157894736842,1.3571428571428572,0.26315789473684215
flores200:devtest:7,flores200,devtest,wikinews,byte,byte,128,143,128,53,128,143,1.0,0.3706293706293706,1.0,1.0,1.1171875,0.1048951048951049
flores200:devtest:7,flores200,devtest,wikinews,char,char,128,53,128,53,128,143,1.0,1.0,1.0,2.69811320754717,0.4140625,-1.4150943396226414
flores200:devtest:8,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,17,28,67,28,67,62,3.9411764705882355,1.0,3.9411764705882355,2.2142857142857144,1.6470588235294117,0.3928571428571428
flores200:devtest:8,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,17,19,67,28,67,62,3.9411764705882355,1.4736842105263157,3.9411764705882355,3.263157894736842,1.1176470588235294,0.10526315789473684
flores200:devtest:8,flores200,devtest,wikinews,llama3,hf,17,20,67,28,67,62,3.9411764705882355,1.4,3.9411764705882355,3.1,1.1764705882352942,0.15000000000000002
flores200:devtest:8,flores200,devtest,wikinews,qwen25,hf,19,20,67,28,67,62,3.526315789473684,1.4,3.526315789473684,3.1,1.0526315789473684,0.04999999999999993
flores200:devtest:8,flores200,devtest,wikinews,byte,byte,67,62,67,28,67,62,1.0,0.45161290322580644,1.0,1.0,0.9253731343283582,-0.08064516129032251
flores200:devtest:8,flores200,devtest,wikinews,char,char,67,28,67,28,67,62,1.0,1.0,1.0,2.2142857142857144,0.417910447761194,-1.3928571428571428
flores200:devtest:9,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,15,39,81,41,81,97,5.4,1.0512820512820513,5.4,2.4871794871794872,2.6,0.6153846153846154
flores200:devtest:9,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,15,29,81,41,81,97,5.4,1.4137931034482758,5.4,3.3448275862068964,1.9333333333333333,0.48275862068965514
flores200:devtest:9,flores200,devtest,wikinews,llama3,hf,15,30,81,41,81,97,5.4,1.3666666666666667,5.4,3.2333333333333334,2.0,0.5
flores200:devtest:9,flores200,devtest,wikinews,qwen25,hf,15,27,81,41,81,97,5.4,1.5185185185185186,5.4,3.5925925925925926,1.8,0.4444444444444444
flores200:devtest:9,flores200,devtest,wikinews,byte,byte,81,97,81,41,81,97,1.0,0.422680412371134,1.0,1.0,1.1975308641975309,0.1649484536082474
flores200:devtest:9,flores200,devtest,wikinews,char,char,81,41,81,41,81,97,1.0,1.0,1.0,2.3658536585365852,0.5061728395061729,-0.975609756097561
flores200:devtest:10,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,27,73,166,52,166,152,6.148148148148148,0.7123287671232876,6.148148148148148,2.0821917808219177,2.7037037037037037,0.6301369863013699
flores200:devtest:10,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,27,41,166,52,166,152,6.148148148148148,1.2682926829268293,6.148148148148148,3.707317073170732,1.5185185185185186,0.3414634146341464
flores200:devtest:10,flores200,devtest,wikinews,llama3,hf,27,44,166,52,166,152,6.148148148148148,1.1818181818181819,6.148148148148148,3.4545454545454546,1.6296296296296295,0.38636363636363635
flores200:devtest:10,flores200,devtest,wikinews,qwen25,hf,27,29,166,52,166,152,6.148148148148148,1.793103448275862,6.148148148148148,5.241379310344827,1.0740740740740742,0.06896551724137945
flores200:devtest:10,flores200,devtest,wikinews,byte,byte,166,152,166,52,166,152,1.0,0.34210526315789475,1.0,1.0,0.9156626506024096,-0.09210526315789469
flores200:devtest:10,flores200,devtest,wikinews,char,char,166,52,166,52,166,152,1.0,1.0,1.0,2.923076923076923,0.3132530120481928,-2.192307692307692
flores200:devtest:11,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,29,80,150,65,150,173,5.172413793103448,0.8125,5.172413793103448,2.1625,2.7586206896551726,0.6375
flores200:devtest:11,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,29,50,150,65,150,173,5.172413793103448,1.3,5.172413793103448,3.46,1.7241379310344827,0.41999999999999993
flores200:devtest:11,flores200,devtest,wikinews,llama3,hf,29,50,150,65,150,173,5.172413793103448,1.3,5.172413793103448,3.46,1.7241379310344827,0.41999999999999993
flores200:devtest:11,flores200,devtest,wikinews,qwen25,hf,29,39,150,65,150,173,5.172413793103448,1.6666666666666667,5.172413793103448,4.435897435897436,1.3448275862068966,0.2564102564102564
flores200:devtest:11,flores200,devtest,wikinews,byte,byte,150,173,150,65,150,173,1.0,0.37572254335260113,1.0,1.0,1.1533333333333333,0.1329479768786127
flores200:devtest:11,flores200,devtest,wikinews,char,char,150,65,150,65,150,173,1.0,1.0,1.0,2.6615384615384614,0.43333333333333335,-1.3076923076923075
flores200:devtest:12,flores200,devtest,wikinews,tiktoken_cl100k,tiktoken,30,46,133,50,133,122,4.433333333333334,1.0869565217391304,4.433333333333334,2.652173913043478,1.5333333333333334,0.34782608695652173
flores200:devtest:12,flores200,devtest,wikinews,tiktoken_o200k,tiktoken,30,35,133,50,133,122,4.433333333333334,1.4285714285714286,4.433333333333334,3.4857142857142858,1.1666666666666667,0.1428571428571429
flores200:devtest:12,flores200,devtest,wikinews,llama3,hf,30,34,133,50,133,122,4.433333333333334,1.4705882352941178,4.433333333333334,3.588235294117647,1.1333333333333333,0.11764705882352944
flores200:devtest:12,flores200,devtest,wikinews,qwen25,hf,30,29,133,50,133,122,4.433333333333334,1.7241379310344827,4.433333333333334,4.206896551724138,0.9666666666666667,-0.034482758620689724
flores200:devtest:12,flores200,devtest,wikinews,byte,byte,133,122,133,50,133,122,1.0,0.4098360655737705,1.0,1.0,0.9172932330827067,-0.0901639344262295
flores200:devtest:12,flores200,devtest,wikinews,char,char,133,50,133,50,133,122,1.0,1.0,1.0,2.44,0.37593984962406013,-1.6600000000000001
